curve_name,tenor,rate
usd_gov,1,0.027
usd_gov,2,0.014615904139433549
usd_gov,3,0.01
usd_gov,4,0.010876143790849674
usd_gov,5,0.014968191721132893
usd_gov,6,0.019999999999999997
usd_gov,7,0.02410069444444444
usd_gov,8,0.027020479302832235
usd_gov,9,0.028914828431372535
usd_gov,10,0.0299392156862745
usd_gov,11,0.03024911492374728
usd_gov,12,0.03
usd_gov,13,0.029347344771241828
usd_gov,14,0.028446623093681917
usd_gov,15,0.02745330882352941
usd_gov,16,0.02652287581699346
usd_gov,17,0.025810797930283222
usd_gov,18,0.02547254901960784
usd_gov,19,0.02566360294117647
usd_gov,20,0.02653943355119826
usd_gov,21,0.028255514705882355
usd_gov,22,0.03096732026143791
usd_gov,23,0.034830324074074076
usd_gov,24,0.04
usd_fx,0.0,0.07
usd_fx,1.0,0.07300000000000001
usd_fx,2.0,0.074
usd_fx,3.0,0.075
usd_fx,4.0,0.07589411021401471
usd_fx,5.0,0.07622245129790883
usd_fx,6.0,0.076
usd_fx,7.0,0.07542033827976763
usd_fx,8.0,0.07539146894133822
usd_fx,9.0,0.077
usd_fx,10.0,0.08105416629654437
usd_fx,11.0,0.08724870997377535
usd_fx,12.0,0.095
usd_fx,13.0,0.10372440534352549
usd_fx,14.0,0.11283829497265896
usd_fx,15.0,0.12175803785570753
usd_fx,16.0,0.1299000029609783
usd_fx,17.0,0.13668055925677844
usd_fx,18.0,0.14151607571141506
usd_fx,19.0,0.14382292129319527
usd_fx,20.0,0.14301746497042622
usd_fx,21.0,0.13851607571141505
usd_fx,22.0,0.1297351224844689
usd_fx,23.0,0.11609097425789482
usd_fx,24.0,0.097
usd_govt_fwd,24,0.025
usd_govt_fwd,25,0.025
usd_govt_fwd,26,0.025
usd_govt_fwd,27,0.025
usd_govt_fwd,28,0.025
usd_govt_fwd,29,0.024999999999999998
usd_govt_fwd,30,0.025000000000000005
usd_govt_fwd,31,0.024999999999999998
usd_govt_fwd,32,0.025
usd_govt_fwd,33,0.024999999999999998
usd_govt_fwd,34,0.025
usd_govt_fwd,35,0.025
usd_govt_fwd,36,0.04800000000000001
usd_govt_fwd,37,0.048
usd_govt_fwd,38,0.048
usd_govt_fwd,39,0.048
usd_govt_fwd,40,0.048
usd_govt_fwd,41,0.048
usd_govt_fwd,42,0.048
usd_govt_fwd,43,0.04800000000000001
usd_govt_fwd,44,0.04800000000000001
usd_govt_fwd,45,0.04800000000000001
usd_govt_fwd,46,0.048
usd_govt_fwd,47,0.048
usd_govt_fwd,48,0.04800000000000001
usd_govt_fwd,49,0.048
usd_govt_fwd,50,0.04800000000000001
usd_govt_fwd,51,0.048
usd_govt_fwd,52,0.048
usd_govt_fwd,53,0.048
usd_govt_fwd,54,0.048
usd_govt_fwd,55,0.04800000000000001
usd_govt_fwd,56,0.04800000000000001
usd_govt_fwd,57,0.048
usd_govt_fwd,58,0.048
usd_govt_fwd,59,0.048
usd_govt_fwd,60,0.048
